Test Case Specification: Admin & System Management (v2.0),,,,,,,,,,,,
,<<-- สีเหลือง รอย้ายไปส่วนอื่น admin,,,<<-- สีเทา หัวข้อ เทส,,,,,,,,
,<<-- สีเเดง รอเอาออก ,,,,,,,,,,,
,<<-- สีม่วง รอคนในทีม รีวิว,,,,,,,,,,,
Test Case ID,BR ID,FR ID,Feature,Test Scenario,Test Type,Pre Conditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Remark
TC-ADM-001,BR-001,FR-01,Admin Login,ตรวจสอบการเข้าสู่ระบบของ Admin ด้วย Email และ Password ที่ถูกต้อง,Functional Testing / Positive Test,"1. บัญชี Admin มีสถานะ Active ในฐานข้อมูล Application PostgreSQL

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ","Email: admin@company.com

Password: command-center","1. กรอก Email ของ Admin ที่ลงทะเบียนไว้ถูกต้องในระบบ

2. กรอก Password ที่ถูกต้องตรงกับบัญชี Admin

3. คลิกปุ่ม ""Sign In""","1. ระบบนำ Admin เข้าสู่หน้าหลัก Workspace UI

2. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Admin Login สำเร็จครบถ้วน

3. ระบบสร้าง Session Data ใน Redis Cache พร้อมกำหนดค่า TTL ตามนโยบายความปลอดภัย

4. Admin มีสิทธิ์เข้าถึงเมนู Admin Dashboard และฟีเจอร์การจัดการระบบทั้งหมด",,,
TC-ADM-002,BR-001,FR-01,Admin Login - Invalid Credentials,ตรวจสอบการจัดการระบบเมื่อ Admin ระบุ Password ไม่ถูกต้อง,Security Testing / Negative Test,"1. มีข้อมูลบัญชี Admin ในระบบฐานข้อมูล

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ","Email: admin@company.com

Password: WrongPass999!","1. กรอก Email ของ Admin ที่ลงทะเบียนไว้ถูกต้องในระบบ

2. กรอก Password ที่ไม่ถูกต้อง

3. คลิกปุ่ม ""Sign In""","1. หน้าจอ UI แสดงข้อความแจ้งเตือนที่เหมาะสม (Invalid username or password) โดยไม่แสดงข้อมูลเทคนิคภายในระบบ

2. ระบบปฏิเสธการเข้าสู่ระบบและไม่สร้างเซสชัน

3. ระบบบันทึกประวัติการทำงาน (Audit Log) เป็นเหตุการณ์ Admin Login Failed",,,
TC-ADM-003,BR-001,FR-06,Admin Account Lockout,ตรวจสอบการปฏิเสธสิทธิ์เมื่อบัญชี Admin ถูกระงับการใช้งาน (Disabled Account),Security Testing / Exception Access,"1. บัญชี Admin ถูกตั้งสถานะเป็น Disabled โดย Super Admin หรือระบบ

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ","Email: disabled_admin@company.com

Password: command-center","1. กรอก Email และ Password ของบัญชี Admin ที่โดนระงับการใช้งาน

2. คลิกปุ่ม ""Sign In""","1. ระบบปฏิเสธการเข้าใช้งานตามข้อกำหนดการควบคุมสถานะบัญชี

2. หน้าจอ UI แสดงข้อความแจ้งเตือนสิทธิ์ชัดเจน (เช่น ""Account has been disabled. Please contact super admin."") 

3. ระบบบันทึกประวัติการทำงาน (Audit Log) ความพยายามเข้าสู่ระบบของบัญชี Admin ที่ถูกระงับ",,,
TC-ADM-004,BR-001,FR-01,Admin Brute Force Protection,ตรวจสอบระบบป้องกันการเดารหัสผ่านซ้ำหลายครั้งสำหรับบัญชี Admin,Vulnerability / Vulnerability Testing,ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ,"Email: admin@company.com

Password: [สุ่มยิงรหัสผ่านผิด 6 ครั้ง]",1. ส่งคำขอเรียกใช้งาน API Login ด้วยรหัสผ่านที่ผิดพลาดติดต่อกันมากกว่า 5 ครั้งภายในเวลา 1 นาที สำหรับ Email บัญชี Admin,"1. ระบบส่วนหลัง (Axum Backend & Redis Cache) ส่งคืนค่า HTTP Status 429 Too Many Requests

2. ระบบบล็อกคำขอ (Block Request) จาก IP หรือ Email ดังกล่าวชั่วคราวตามนโยบาย (เช่น 15 นาที)

3. หน้าจอ UI แสดงข้อความแจ้งเตือนระยะเวลาการระงับคำขอชั่วคราว

4. บันทึกข้อมูลเหตุการณ์ที่มีความเสี่ยงด้านความปลอดภัยสูงลงใน Audit Log",,,
TC-ADM-005,BR-013,FR-08,Admin Session Management,ตรวจสอบความถูกต้องในการทำลายเซสชันเมื่อ Admin แจ้งออกจากระบบ,Lifecycle Testing / Performance Boundary,ผู้ใช้งาน Admin อยู่ในสถานะเข้าสู่ระบบเรียบร้อยแล้ว และมี Session Active บนหน้าเว็บแอปพลิเคชัน,Session Cookie Identity Token,"1. ผู้ใช้งาน Admin คลิกปุ่ม ""Logout"" จากเมนูควบคุมของระบบ","1. ระบบดำเนินการลบข้อมูล Session Identity ออกจากระบบ Redis Cache โดยทันที

2. ทำการล้างค่าประวัติข้อมูล Cookie/Token ที่ฝั่ง Browser Client (Next.js Application)

3. ระบบนำ Admin กลับมาหน้าจอ Login UI และหาก Admin กดปุ่มย้อนกลับ (Back Button) ของ Browser ต้องไม่สามารถเข้าถึงข้อมูลภายในได้

4. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Admin Logout สำเร็จ",,,
User Management,,,,,,,,,,,,
