Test Case Specification: Login & Authentication (User) (v2.0),,,,,,,,,,,,
,<<-- สีเหลือง รอย้ายไปส่วนอื่น admin,,,<<-- สีเทา หัวข้อ เทส,,,,,,,,
,<<-- สีเเดง รอเอาออก ,,,,,,,,,,,
,<<-- สีม่วง รอคนในทีม รีวิว,,,,,,,,,,,
Test Case ID,BR ID,FR ID,Feature,Test Scenario,Test Type,Pre Conditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Remark
TC-LOG-001,-,FR-01,Login by Email & Password,ตรวจสอบการเข้าสู่ระบบสำเร็จด้วย Email และ Password ตรงตามเงื่อนไข,Functional Testing / Positive Test,"1. บัญชีผู้ใช้มีสถานะ Active ในฐานข้อมูล Application PostgreSQL

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ","Email: active_user@genbi.io

Password: P@ssword123!","1. กรอก Email ที่ลงทะเบียนไว้ถูกต้องในระบบ

2. กรอก Password ที่ถูกต้องตรงกับบัญชี

3. คลิกปุ่ม ""Sign In""","1. ระบบนำผู้ใช้เข้าสู่หน้าหลัก Workspace UI

2. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์ Login สำเร็จครบถ้วน

3. ระบบสร้าง Session Data ใน Redis Cache พร้อมกำหนดค่า TTL ตามนโยบายความปลอดภัย",,,
TC-LOG-002,-,"FR-01, FR-02",Google OAuth Registration,ตรวจสอบการเข้าสู่ระบบผ่าน Google OAuth สำเร็จ สำหรับกรณีผู้ใช้ใหม่ (Sign Up & Login),Functional Testing / E2E Integration,"1. บัญชี Google Account นั้นยังไม่เคยลงทะเบียนในระบบมาก่อน  

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ",Auth Provider: Google OAuth ID Token,"1. คลิกปุ่ม ""Continue with Google""  

2. ทำการยืนยันตัวตน (Authentication) ผ่านระบบ Google Identity Provider จนสำเร็จ","1. ระบบสร้าง User Profile ใหม่ในฐานข้อมูลให้โดยอัตโนมัติ (Self-registration)  

2. ระบบนำผู้ใช้เข้าสู่หน้าหลัก Workspace UI สำเร็จ  

3. ระบบบันทึกประวัติการทำงาน (Audit Log) ทั้งเหตุการณ์ลงทะเบียนและเข้าสู่ระบบ",,,
TC-LOG-003,-,FR-01,Google OAuth Returning User,ตรวจสอบการเข้าสู่ระบบผ่าน Google OAuth สำเร็จ สำหรับกรณีผู้ใช้เดิมที่มีบัญชีแล้ว,Functional Testing / Regression Test,"1. บัญชี Google Account เคยลงทะเบียนในระบบแล้ว และมีสถานะ Active ในฐานข้อมูล  

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ",Auth Provider: Google OAuth ID Token (Existing),"1. คลิกปุ่ม ""Continue with Google""  

2. ทำการยืนยันตัวตน (Authentication) ผ่านระบบ Google Identity Provider จนสำเร็จ","1. ระบบตรวจสอบตัวตนและนำผู้ใช้เข้าสู่หน้าหลัก Workspace UI ทันที  

2. ระบบบันทึกประวัติการทำงาน (Audit Log) เหตุการณ์เข้าสู่ระบบสำเร็จ  

3. ระบบอัปเดตเซสชันการใช้งาน (Active Session) บน Redis Cache",,,
TC-LOG-004,-,"FR-02, FR-01",Remember Me - Login Checked,ตรวจสอบระบบล็อกอินสำเร็จพร้อมเปิดใช้งานฟังก์ชันจดจำรหัสผ่าน (Remember Me Flag Active),Functional Testing / Positive Test,"1. บัญชีผู้ใช้มีสถานะ Active ในฐานข้อมูล Application PostgreSQL  

2. ผู้ใช้อยู่ที่หน้าจอ Login UI ของระบบ","Email: active_user@genbi.io

Password: P@ssword123!

Remember Me: Checked","1. กรอก Email และ Password ที่ถูกต้อง  

2. คลิกติ๊กถูกที่ช่องสี่เหลี่ยม ""Remember me"" (จดจำฉันไว้ในระบบ)  

3. คลิกปุ่ม ""Sign In""",ระบบนำผู้ใช้เข้าสู่หน้าหลัก Workspace UI,,,
TC-LOG-005,-,"FR-02, FR-01",Remember Me - Logic,ตรวจสอบฟังก์ชันจดจำรหัสผ่าน (Remember Me Flag Active),Functional Testing / Positive Test,"1. บัญชีผู้ใช้มีการเข้าสู่ระบบสำเร็จโดยเลือก 'Remember me' ไว้ก่อนหน้านี้ 

2. ปัจจุบันผู้ใช้อยู่ในสถานะล็อกอินบนระบบ Workspace UI",,"1. คลิกปุ่ม 'Sign Out' ออกจากระบบ 

2. ตรวจสอบหน้าจอ Login UI หลังจากการ Sign Out","1. ระบบแสดง Email และรหัสผ่านที่ถูกปิดบัง (Masked Password) บนหน้าจอ Login UI โดยอัตโนมัติ 

2. ผู้ใช้สามารถคลิกปุ่ม 'Sign In' เพื่อเข้าสู่ระบบได้ทันทีโดยไม่ต้องระบุข้อมูลใหม่",,,
TC-LOG-019,BR-001,FR-02,Email/Password Self-Registration,ตรวจสอบการสมัครสมาชิกด้วย Email และ Password สำเร็จ (Self-registration),Functional Testing / Positive Test,1. ผู้ใช้ยังไม่มีบัญชีในระบบ 2. ผู้ใช้อยู่ที่หน้าจอ Login UI,"Name: New User
Email: newuser@genbi.io
Password: P@ssword123!
Confirm: P@ssword123!","1. คลิกลิงก์ ""Sign Up""
2. กรอกชื่อ-นามสกุล
3. กรอก Email ที่ยังไม่เคยลงทะเบียน
4. กรอก Password ที่ผ่านเงื่อนไข
5. กรอก Confirm Password ให้ตรงกัน
6. คลิกปุ่ม ""Register""","1. ระบบสร้างบัญชีใน Application PostgreSQL สำเร็จ
2. ระบบนำผู้ใช้เข้าสู่หน้า Workspace UI อัตโนมัติ
3. ระบบบันทึก Audit Log เหตุการณ์ User Registered
4. ระบบสร้าง Session บน Redis Cache",,,
